coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
13075031,"not specified",,"not specified",,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:b3bf1fca-0170-48c1-9cff-9154c3b5d485,"2021-01-07 16:23:24"
4791496,,,,,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:9acb86f9-a5ae-4cd7-aab2-a4a42df00a74,"2014-10-03 06:18:38"
4791496,"not specified",,"not specified",,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:19a17b5f-32e8-4700-9420-cb6b970118dd,"2021-01-07 16:23:24"
4791679,,,,,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:813d6d57-d3df-467c-831b-81b203b7d8d0,"2014-10-03 06:18:38"
4791679,"not specified",,"not specified",,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:f5d30967-ca71-47f5-b5b8-3e50406a4732,"2021-01-07 16:23:24"
4792304,,,,,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:faf44b04-53dd-44c6-b7bc-a22b30c55452,"2014-10-03 06:18:38"
4792304,"not specified",,"not specified",,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:b24cb9b1-6674-447b-9e4c-8e2d6efca885,"2021-01-07 16:23:24"
4835748,,,,,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:5b81638d-4e59-4d85-8c1c-f621b41d0bfe,"2014-10-03 06:18:38"
4835748,"not specified",,"not specified",,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:2acfa42b-becd-4455-98fe-e508ef4f7eeb,"2021-01-07 16:23:24"
4835661,,,,,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:9ca3505d-51a2-45b7-804e-2a5a3811ef63,"2014-10-03 06:18:38"
4835661,"not specified",,"not specified",,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:0549eea7-35f9-43dc-b4f9-18ff4c2e657f,"2021-01-07 16:23:24"
4835908,,,,,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:51609cc3-2d48-4576-8732-42ddfb226411,"2014-10-03 06:18:38"
4835908,"not specified",,"not specified",,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:9942d790-6a92-4d8d-84a5-d629b5442dc4,"2021-01-07 16:23:24"
4852004,,,,,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:5fd334d3-a3e2-4e47-b287-35fc26a45df8,"2014-10-03 06:18:38"
4852004,"not specified",,"not specified",,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:b4134f2b-b007-4ff2-918a-6d9df69d32d5,"2021-01-07 16:23:24"
13081973,"not specified",,"not specified",,"Astragalus debequaeus",0,"S. L. Welsh",,,,,,,urn:uuid:b4b3a059-d5cd-4f7a-bc73-6a8ddd989d43,"2021-01-07 16:23:24"
23017172,"not specified",,"not specified",,"Astragalus debequaeus S. L. Welsh",0,"S. L. Welsh",,,,,,,urn:uuid:725baa60-67bf-41b9-8b29-094fa8f16226,"2020-02-13 13:52:16"
