id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
491700,CS,,,PreservedSpecimen,c6f5165d-50f4-491c-8a9d-664769a70737,109242,17149,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus debequaeus",73886,"S.L. Welsh",Astragalus,,debequaeus,,,Species,,,,,,,,"collectors: S O'Kane 2369",,,1986-05-22,1986,5,22,142,,"22 May 1986",,sandstone,,,,,,,,,,"Astragalus flavus, Gutierrezia, Juniperus",,,,,,1,,"United States",Colorado,"Mesa County",,"Coon Hollow Rd NE of Pyramid Rd, W of Debeque",,,,39.33,-108.25,WGS84,,,,,,,,1570,,,,,5151ft.,,en,,"2017-01-16 19:29:41",9123,30,urn:uuid:c6f5165d-50f4-491c-8a9d-664769a70737,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=491700
491701,CS,,,PreservedSpecimen,0a0e5e69-2039-4d0e-9918-17fbb6c6395d,109239,58,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus debequaeus",73886,"S.L. Welsh",Astragalus,,debequaeus,,,Species,,,,,,,,"collectors: S O'Kane 2389",,,1986-05-25,1986,5,25,145,,"25 May 1986",,"clay badlands",,,,,,,,,,Gutierrezia,,,,,,1,,"United States",Colorado,"Mesa County",,"N of jct of Shire Gulch & Debeque cutoff rd",,,,39.24,-108.16,WGS84,,,,,,,,1719,,,,,5640ft.,,en,,"2017-01-16 19:29:41",9120,30,urn:uuid:0a0e5e69-2039-4d0e-9918-17fbb6c6395d,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=491701
491702,CS,,,PreservedSpecimen,82f1e726-75e8-40ad-a6a9-d3100fb01868,109238,38901,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus debequaeus",73886,"S.L. Welsh",Astragalus,,debequaeus,,,Species,,,,,,,,"collectors: J Anderson 85-83",,,1985-06-21,1985,6,21,172,,"21 Jun 1985",,"clay slopes",,,,,,,,,,"Juniperus osteosperma, Atriplex confertifolia",,,,,,1,,"United States",Colorado,"Mesa County",,"Pyramid Rock",,,,39.3,-108.27,WGS84,,,,,,,,1554,,,,,5099ft.,,en,,"2017-01-16 19:29:40",9119,30,urn:uuid:82f1e726-75e8-40ad-a6a9-d3100fb01868,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=491702
491703,CS,,,PreservedSpecimen,2a01c1b9-e38f-43ae-82fe-4fd465c69f3a,109241,53030,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus debequaeus",73886,"S.L. Welsh",Astragalus,,debequaeus,,,Species,,,,,,,,"collectors: S O'Kane & J Anderson 2351",,,1986-05-20,1986,5,20,140,,"20 May 1986",,"steep S facing slope, clay soil",,,,,,,,,,"Artemisia, Eriogonum, Juniperus",,,,,,1,,"United States",Colorado,"Mesa County",,"ca 1.5 mi W of jct of Corcoran Wash Rd & N Dry Fk",,,,39.34,-108.48,WGS84,,,,,,,,1951,,,,,6401ft.,,en,,"2017-01-16 19:29:40",9122,30,urn:uuid:2a01c1b9-e38f-43ae-82fe-4fd465c69f3a,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=491703
491704,CS,,,PreservedSpecimen,92260ae8-1f7e-4309-affb-99e485646d1f,101357,62,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus debequaeus",73886,"S.L. Welsh",Astragalus,,debequaeus,,,Species,,,,,,,,"collectors: S O'Kane 2374",,,1986-05-22,1986,5,22,142,,"22 May 1986",,"clay soil w/sandstone fragments",,,,,,,,,,"Atriplex, Juniperus",,,,,,1,,"United States",Colorado,"Mesa County",,"near head of Coon Hollow W of Debeque",,,,39.31,-108.31,WGS84,,,,,,,,1658,,,,,5440ft.,,en,,"2017-01-16 19:29:40",1309,30,urn:uuid:92260ae8-1f7e-4309-affb-99e485646d1f,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=491704
491705,CS,,,PreservedSpecimen,d378589a-a2b4-493f-b9ad-934b522cc7fc,109240,17539,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus debequaeus",73886,"S.L. Welsh",Astragalus,,debequaeus,,,Species,,,,,,,,"collectors: S O'Kane 2397",,,1986-05-26,1986,5,26,146,,"26 May 1986",,"sandstone outcrop",,,,,,,,,,"Platyschkuhria, Gutierrezia, Artemisia",,,,,,1,,"United States",Colorado,"Mesa County",,"rd above Sulphur Gulch, W of Debeque & Pyramid Rock",,,,39.3,-108.31,WGS84,,,,,,,,1584,,,,,5197ft.,,en,,"2017-01-16 19:29:39",9121,30,urn:uuid:d378589a-a2b4-493f-b9ad-934b522cc7fc,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=491705
491706,CS,,,PreservedSpecimen,9ac129ab-09cb-4130-b4d0-b87be41270ee,109243,75677,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus debequaeus",73886,"S.L. Welsh",Astragalus,,debequaeus,,,Species,,,,,,,,"collectors: J. Burt and L. Carsten",,,1995-06-07,1995,6,7,158,,"7 Jun 1995",,Clay,,,,,,,,,,,,,,,,1,,"United States",Colorado,"Mesa County",,"Atwell Gulch member,, Wasatch formation",,,,39.3,-108.31,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 19:29:39",9124,30,urn:uuid:9ac129ab-09cb-4130-b4d0-b87be41270ee,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=491706
491750,CS,,,PreservedSpecimen,1314cf99-d3a9-49b2-9a77-601a66855fca,109236,12673,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus debequaeus",73886,"S.L. Welsh",Astragalus,,debequaeus,,,Species,"Jennifer Ackerfield, 10-2008",,,,,,,"collectors: W Kelley 83-3",,,1983-05-12,1983,5,12,132,,"12 May 1983",,"brown sandy soil, dry wash",,,,,,,,,,Juniperus,,,,,,1,,"United States",Colorado,"Mesa County",,"2 mi E of Black Mt",,,,39.21,-108.14,WGS84,,,,,,,,1670,,,,,5479ft.,,en,,"2017-01-16 19:29:25",9117,30,urn:uuid:1314cf99-d3a9-49b2-9a77-601a66855fca,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=491750
529873,CS,,,PreservedSpecimen,70f62520-8894-4732-a574-686a69ec257c,109237,47260,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus debequaeus",73886,"S.L. Welsh",Astragalus,,debequaeus,,,Species,"Jennifer Ackerfield, 9-2008",,,,,,,"collectors: W A Kelley",,83-3,1983-05-12,1983,5,12,132,,"12 May 1983",,"on light brown sandy soil of dry wash",,,,,,,,,,Juniperus,,,,,,1,,"United States",Colorado,"Mesa County",,"2 mi E of Black Mt",,,,39.21,-108.14,WGS84,,,,,,,,1670,,,,,5480ft.,,en,,"2017-01-16 15:04:23",9118,30,urn:uuid:70f62520-8894-4732-a574-686a69ec257c,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=529873
530934,CS,,,PreservedSpecimen,da49cc0c-861f-4735-8048-f8093407045e,106087,13332,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus debequaeus",73886,"S.L. Welsh",Astragalus,,debequaeus,,,Species,,,,,,,,"collectors: S Welsh B Welsh, R Kass",,22792,1984-05-16,1984,5,16,137,,"16 May 1984",,"Wasatch formation, pinyon-juniper, desert shrub comm.",,,,,,,,,,,,,,,,1,,"United States",Colorado,"Mesa County",,"Ca 7 mi S of De Beque.",,,,,,WGS84,,,,,,,,1646,,,,,5400ft.,,en,,"2017-01-16 14:52:31",5987,30,urn:uuid:da49cc0c-861f-4735-8048-f8093407045e,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=530934
