id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
135918,NMC,,,3bc468fd-522b-4e40-b52c-5668c979b865,PreservedSpecimen,,51071,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,"W.J. Warnock",1987,,,,,,"N.H. Holmgren and P.K. Holmgren",,,1973,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",,,,,,,,,,,,"United States","New Mexico",Taos,,,,,,,,,,,,,,,,,,,,,,,"2015-05-01 23:30:11",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:242b10cc-8ec1-448f-9ee9-e971953d7e78,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=135918
135919,NMC,,,3bc468fd-522b-4e40-b52c-5668c979b865,PreservedSpecimen,,51195,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,"W.J. Warnock",1987,,,,,,"R.W. Spellenberg and R. Soreng",,,1980,,,,,,"sepals & petals blue-violet; tips of petals white",,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, verbatimElevation",,,,,"Carex, Trifolium, Potentilla, Aletes, Polemonium, Phlox, wind-formed spruces occasional",,,,,,,"United States","New Mexico",Taos,,,,,,,,,,,,,,,,,,,,,,,"2015-05-01 23:30:11",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:4db0777b-f108-4576-87e1-6dd51e2d1e62,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=135919
428588,UCR,,,343cbd43-46a3-4534-9465-ffb0b1132d62,PreservedSpecimen,UCR-BPS-152081,,UCR-152081,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"Craig C. Freeman; R.L. Hartman",,,1998,,,,,,Scattered.,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, verbatimCoordinates, habitat",,,,,,"Flowering & Fruiting",,,,,,"United States",Colorado,"Las Animas",,,,,,,,,,,,,,,,,,,,,,,"2021-10-16 14:57:37",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:2f50021c-62d4-497c-bff5-69f8cbb9ceac,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=428588
507651,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,6b85f31c-8be9-424d-b16f-6989e4016ecf,102344,31506,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"collectors: B Neely 4681",,,1987,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, habitat",,,,,,,,,,1,,"United States",Colorado,"Costilla County",,,,,,,,,,,,,,,,,,,,,en,,"2017-01-16 17:47:07",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:6b85f31c-8be9-424d-b16f-6989e4016ecf,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=507651
507652,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,cafaf8a8-5218-49fe-98b7-23d5d94ab2a4,145250,72580,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"collectors: B Neely & B Johnston 3102",,,1985,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, locality, minimumElevationInMeters, verbatimElevation, geodeticDatum, habitat",,,,,willow,,,,,1,,"United States",Colorado,"Park County",,,,,,,,,,,,,,,,,,,,,en,,"2017-01-16 17:47:06",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:cafaf8a8-5218-49fe-98b7-23d5d94ab2a4,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=507652
507653,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,06170b1a-b7e6-4ed6-8060-7bc3d005cb3a,145256,72359,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"collectors: B Neely 3074",,,1985,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, habitat",,,,,"Dryas, shrubby cinquefoil",,,,,1,,"United States",Colorado,"Park County",,,,,,,,,,,,,,,,,,,,,en,,"2017-01-16 17:47:06",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:06170b1a-b7e6-4ed6-8060-7bc3d005cb3a,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=507653
507654,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,cb9a1813-c440-4ea1-97b6-712465a9bd3c,145254,43003,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"collectors: R Walter 804",,,1963,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, locality, minimumElevationInMeters, verbatimElevation, geodeticDatum, habitat",,,,,grass,,,,,1,,"United States",Colorado,"Park County",,,,,,,,,,,,,,,,,,,,,en,,"2017-01-16 17:47:06",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:cb9a1813-c440-4ea1-97b6-712465a9bd3c,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=507654
507655,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,38227f1d-db5f-491b-a223-098442f717d2,145255,35206,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"collectors: H Harrington 7674",,,1954,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, locality, minimumElevationInMeters, verbatimElevation, geodeticDatum, habitat",,,,,,,,,,1,,"United States",Colorado,"Park County",,,,,,,,,,,,,,,,,,,,,en,,"2017-01-16 17:47:06",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:38227f1d-db5f-491b-a223-098442f717d2,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=507655
507656,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,df547606-f715-4367-ae0f-e209c3683d95,145251,51111,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"collectors: H Shepherd S387",,,1971,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, habitat",,,,,,,,,,1,,"United States",Colorado,"Saguache County",,,,,,,,,,,,,,,,,,,,,en,,"2017-01-16 17:47:05",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:df547606-f715-4367-ae0f-e209c3683d95,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=507656
507827,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,f6a22384-a40b-4a64-ad43-ee9b0b3337bd,145252,42997,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,"Jennifer Ackerfield, 1-2010",,,,,,,"collectors: R Walter 310",,,1959,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, locality, minimumElevationInMeters, verbatimElevation, geodeticDatum, habitat",,,,,,,,,,1,,"United States",Colorado,"Park County",,,,,,,,,,,,,,,,,,,,,en,,"2017-01-16 17:46:20",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:f6a22384-a40b-4a64-ad43-ee9b0b3337bd,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=507827
