id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
1764507,RM,,RM,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,,,,,,,,"Ronald L. Hartman",,,1999,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, maximumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, verbatimCoordinates, habitat",,,,,,flowering,,,,,,U.S.A.,Colorado,"Las Animas",,,,,,,,,,,,,,,,,,,,,English,,"2013-05-13 10:41:48",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:a8e40b1b-7afd-4230-8255-05bd6d6e2e0c,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=1764507
2810791,NY,,,b39167b5-1732-4bbf-aeda-9b8ede470fbd,PreservedSpecimen,ee01b889-2641-41c0-8564-7ba861fd3681,353367,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,,,,,,,type,"P. A. Rydberg",,,1900,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, endDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, maximumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceProtocol, georeferenceSources",,,,,,,,,,,sheet,"United States of America",Colorado,,,,,,,,,,,,,,,,,,,,,,en,,"2022-03-04 14:29:29",http://creativecommons.org/licenses/by/3.0/,,,urn:uuid:42ec2fe7-4311-4667-8631-0b5909f12a56,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=2810791
2810898,NY,,,b39167b5-1732-4bbf-aeda-9b8ede470fbd,PreservedSpecimen,9903bf4d-c16b-4869-972e-890765c7850b,353368,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,,,,,,,isotype,"P. A. Rydberg",,,1900,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, endDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, maximumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceProtocol, georeferenceSources",,,,,,,,,,,sheet,"United States of America",Colorado,,,,,,,,,,,,,,,,,,,,,,en,,"2022-03-04 14:29:29",http://creativecommons.org/licenses/by/3.0/,,,urn:uuid:cc5df214-eb7e-4f58-bd2e-830beed3e6e3,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=2810898
3397888,SSLP,,,392b3fdb-7b73-4e41-88ed-e31e66f11331,PreservedSpecimen,,SSLP06833,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,Sanderson,,,,,,,"Sanderson , S.; J. Ott",,,2000,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality",,,,,,,,,,,,USA,Colorado,Saguache,,,,,,,,,,,,,,,,,,,,,,,"2015-01-06 12:31:47",http://creativecommons.org/publicdomain/zero/1.0/,"U.S. Forest Service",,urn:uuid:a4740d5e-fed1-4b3e-8b2d-9f0fc4acd2d3,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3397888
4023700,UNM,"Vascular Plants",,274317fa-b413-42b6-bb9a-cfe8f2e54962,PreservedSpecimen,db9a1fa0-7688-4f5b-9395-91812fee0c3a,UNM0075859,50701,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,"R.C. Sivinski",1999,,,,,,"H. Mackay",,,1967,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceRemarks, georeferencedBy, georeferenceProtocol, georeferenceSources",,,,,,,,,,,"Sheets - 1","United States","New Mexico",Taos,,,,,,,,,,,,,,,,,,,,,,preprocessed,"2012-12-12 15:10:32",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:db9a1fa0-7688-4f5b-9395-91812fee0c3a,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4023700
4031018,UNM,"Vascular Plants",,274317fa-b413-42b6-bb9a-cfe8f2e54962,PreservedSpecimen,ab37d702-b750-4035-982f-0849f29fb3f3,UNM0075856,2146,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,"R.C. Sivinski",1999,,,,,,"A. Nelson",,,1932,,,,,,Meadow.,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, habitat",,,,,,,,,,,"Sheets - 1","United States","New Mexico",Colfax,,,,,,,,,,,,,,,,,,,,,,preprocessed,"2012-12-12 15:11:48",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ab37d702-b750-4035-982f-0849f29fb3f3,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4031018
4031019,UNM,"Vascular Plants",,274317fa-b413-42b6-bb9a-cfe8f2e54962,PreservedSpecimen,05969406-3e6a-4914-b496-a673bddb306a,UNM0075857,2414,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,"R.C. Sivinski",1999,,,,,,"A. Nelson",,,1935,,,,,,"Moist meadow.",,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceRemarks, georeferenceProtocol, habitat",,,,,,,,,,,"Sheets - 1","United States","New Mexico",Colfax,,,,,,,,,,,,,,,,,,,,,,preprocessed,"2012-12-12 15:09:04",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:05969406-3e6a-4914-b496-a673bddb306a,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4031019
4033095,UNM,"Vascular Plants",,274317fa-b413-42b6-bb9a-cfe8f2e54962,PreservedSpecimen,23df9ab8-1584-4b86-936a-c5455de3b83b,UNM0075855,95971,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,,,,,,,,"R.C. Sivinski",,,1998,,,,,,"Bottom of talus slope in canyon bottom. With Pseudotsuga menziesii, Rubus idaeus, Rosa woodsii, Rudbeckia laciniata. Plants 1-1.5 m tall; calyx pale purplish pink; petals dark violet purple, drying blue. Locally common.; Plants 1-1.5 m tall; calyx pale purplish pink; petals dark violet purple, drying blue. Locally common.",,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, verbatimCoordinates, georeferenceRemarks, georeferenceProtocol, habitat",,,,,"Pseudotsuga menziesii, Rubus idaeus, Rosa woodsii, Rudbeckia laciniata.",,,,,,"Sheets - 1","United States","New Mexico",Colfax,,,,,,,,,,,,,,,,,,,,,,preprocessed,"2009-05-03 19:16:36",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:23df9ab8-1584-4b86-936a-c5455de3b83b,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4033095
4067049,UNM,"Vascular Plants",,274317fa-b413-42b6-bb9a-cfe8f2e54962,PreservedSpecimen,27451b3f-b0e4-4ff8-a529-b5b9d06349c8,UNM0075858,103418,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,,,,,,,,"J.M. Stewart",,,1999,,,,,,"Road shoulder. With Picea. 60 cm tall with dark blue petals.; 60 cm tall with dark blue petals.",,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, verbatimCoordinates, georeferenceRemarks, georeferenceProtocol, habitat",,,,,Picea.,,,,,,"Sheets - 1","United States","New Mexico",Colfax,,,,,,,,,,,,,,,,,,,,,,preprocessed,"2009-05-02 19:20:46",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:27451b3f-b0e4-4ff8-a529-b5b9d06349c8,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4067049
4112485,UNM,"Vascular Plants",,274317fa-b413-42b6-bb9a-cfe8f2e54962,PreservedSpecimen,d7ff5f09-00d2-439f-90db-c783eabdb286,UNM0075852,116203,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,"Sivinski, Robert",2011,,,,,,"M. Schiebout",,,2005,,,,,,"Mountain meadow surrounding stream. Collecting permit: SU-05-06-ALL-02",,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, verbatimCoordinates, georeferenceRemarks, georeferenceProtocol, habitat",,,,,,,,,,,"Sheets - 1","United States","New Mexico",Mora,,,,,,,,,,,,,,,,,,,,,,preprocessed,"2011-10-27 13:58:35",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d7ff5f09-00d2-439f-90db-c783eabdb286,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4112485
