coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
4120976,unknown,,unknown,,"Delphinium ramosum",18141,,Delphinium,ramosum,,,,c05e83e3-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:147130e4-146d-4db1-a911-aa585f16b61b,"2014-02-21 18:08:59"
4112344,"M. Schiebout,",,unknown,,"Delphinium ramosum",18141,,Delphinium,ramosum,,,,bfdb1a20-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:aec7c8f4-a905-433b-9916-234359ce2f1d,"2014-02-21 18:08:59"
4031014,"R.C. Sivinski,",,1999-01-01,,"Delphinium ramosum",18141,,Delphinium,ramosum,,,,bd14f4bb-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:dd318598-68dd-4123-b914-2d608a068f83,"2014-02-21 18:08:59"
4821629,,,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:06dd3d65-ccd8-41ee-970a-f5cb15400170,"2014-10-03 06:18:38"
4821629,"not specified",,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:8e0bddbe-bffb-4a37-be23-d1dda9745f7e,"2021-01-07 16:23:24"
4821628,,,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:0e5f96e2-9047-4482-896d-885bd16c2fa5,"2014-10-03 06:18:38"
4821628,"not specified",,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:e3d9c322-81bd-48c2-a5c1-6c3b8c2dd0f1,"2021-01-07 16:23:24"
4821627,,,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:85cc8c00-cff1-48b1-bc1c-78cc0a58db5a,"2014-10-03 06:18:38"
4821627,"not specified",,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:f9e990a1-d771-4c97-917d-00e87b8b41ab,"2021-01-07 16:23:24"
4821626,,,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:9bb84092-8d01-4d38-ac8b-73576db70559,"2014-10-03 06:18:38"
4821626,"not specified",,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:4fd8a592-dc47-409c-8f5e-49aa1de4839a,"2021-01-07 16:23:24"
4783819,,,,,"Delphinium robustum",,Rydb.,,,,,,,urn:uuid:e4a2f7f2-5410-447f-bcb5-bd64ae18737b,"2014-10-03 06:18:38"
4783819,,,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:d5d45816-9c41-43c3-bf64-25c0ef28f168,"2014-10-03 06:18:38"
4783819,"not specified",,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:f3f3bb20-e1af-4303-baf6-f3339b2251a9,"2021-01-07 16:23:24"
4783819,"not specified",,"not specified",,"Delphinium robustum",,Rydb.,,,,,,,urn:uuid:ffad09b7-760a-4e0c-9137-aeb6bd34d1d9,"2021-01-07 16:23:24"
4821630,,,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:7034ba96-5d6a-4e1b-b2d3-d08c9c9b5188,"2014-10-03 06:18:38"
4821630,"not specified",,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:f15367ee-45aa-4351-87dd-9a0a8789b706,"2021-01-07 16:23:24"
4821632,,,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:3c48d884-338c-4e2f-befd-9d55fa34898d,"2014-10-03 06:18:38"
4821632,"not specified",,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:4e6be871-b4d7-4ce1-b5ca-de3e8bd960c6,"2021-01-07 16:23:24"
4821631,,,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:f2737656-f327-4da3-86cf-e76cda8c9138,"2014-10-03 06:18:38"
4821631,"not specified",,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:5a485c63-a9df-4c68-8667-6f81df3ad34c,"2021-01-07 16:23:24"
1514143,,,1951-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:36979094-5ea6-4674-843b-b166b1d8cd02,"2014-10-03 06:18:38"
1514143,"not specified",,1951-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:65c22664-2fc8-41d3-8dbe-39c16270b929,"2021-01-07 16:23:24"
4821633,,,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:0081c41e-c3ff-4e22-b081-db2cea6c5990,"2014-10-03 06:18:38"
