coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
4835531,,,,,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:406bd627-885e-48a7-a540-b15705ef3fbe,"2014-10-03 06:18:38"
4835531,"not specified",,"not specified",,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:36730a62-a21f-45f5-992f-999ce960bf6f,"2021-01-07 16:23:24"
4839371,,,,,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:68b19dce-0fd4-4860-8f85-9e3537b26601,"2014-10-03 06:18:38"
4839371,"not specified",,"not specified",,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:65786317-3f82-4133-8c8c-ff9a41a64422,"2021-01-07 16:23:24"
4851471,,,,,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:1426fc95-9b91-475d-905f-d7e643220afd,"2014-10-03 06:18:38"
4851471,"not specified",,"not specified",,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:103b7156-505c-406e-b9e5-b5682caa7d9d,"2021-01-07 16:23:24"
4839522,,,,,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:7e36541b-8ea8-45d4-9ba7-8c1f07518225,"2014-10-03 06:18:38"
4839522,"not specified",,"not specified",,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:00e46203-20ff-46c0-a85a-5be50488db0a,"2021-01-07 16:23:24"
1502347,,,1977-00-00,,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:44321f23-89b7-417d-a7e3-ce2b245b6c90,"2014-10-03 06:18:38"
1502347,"not specified",,1977-00-00,,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:c72abbdf-3d9a-4e4b-a033-22dd760f4a6e,"2021-01-07 16:23:24"
1502515,,,1978-00-00,,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:5823f38e-1ad9-4c3a-b4a4-63c67307f8ae,"2014-10-03 06:18:38"
1502515,"not specified",,1978-00-00,,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:461251b4-ab97-4cf7-b026-c7486691eddf,"2021-01-07 16:23:24"
4835148,,,,,"Eriogonum coloradense",0,Small,,,,,,,urn:uuid:80c30581-212b-41df-96b0-929471c43f0a,"2014-10-03 06:18:38"
