id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
102145,ENMU,,,PreservedSpecimen,d29e5275-b735-448b-828f-d0061bd55da9,5452,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum tristichum",64570,Small,Eriogonum,,tristichum,,,Species,,,,,,,,"Vorsila L Bohrer",,1756,1973-09-22,1973,9,22,265,,9/22/1973,,,,,,,,,,,,,,,0,,,,,USA,"New Mexico",Sandoval,,"2 mi S of Hwy to Farmington on road to San Luis and Cabezon",,0,,,,,,,,,,,,,,,,,6000ft.,,,,"2003-08-19 01:00:00",5452,24,urn:uuid:d29e5275-b735-448b-828f-d0061bd55da9,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=102145
137689,NMC,,,PreservedSpecimen,,55783,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum|Eriogonum lonchophyllum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum var. nudicaule",83197,"(Torr.) Reveal",Eriogonum,,lonchophyllum,var.,nudicaule,Variety,"J.L. Reveal",1973,,,,,,"J.L. Reveal and G. Davidse",,928,1967-09-06,1967,9,6,249,,,,"on a steep roadbank on gypsum soil",,,,,,,,,,,,,,,,,,"United States","New Mexico",Sandoval,,"11 miles northwest of San Ysidro along New Mexico State Highway 44",,,,,,,,,,,,,,,,,,,,,,,"2015-05-01 23:30:11",55783,22,urn:uuid:172f5a6a-c3de-4cc4-aecb-9fe7cf8f3a91,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=137689
137690,NMC,,,PreservedSpecimen,,45601,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum|Eriogonum lonchophyllum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum var. nudicaule",83197,"(Torr.) Reveal",Eriogonum,,lonchophyllum,var.,nudicaule,Variety,"J.L. Reveal",1978,,,,,,"L.C. Higgins",,7972,1973-07-27,1973,7,27,208,,,,"sandy soil",,,,,,,,,,"pine-oak woodland",,,,,,,,"United States","New Mexico","Rio Arriba",,"10 miles south of Cebolla on hwy 84",,,,,,,,,,,,,,,,,,,,,,,"2015-05-01 23:30:11",45601,22,urn:uuid:e3ddf38d-d329-4cc9-b1a3-e8b655d31492,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=137690
137691,NMC,,,PreservedSpecimen,,35423,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum|Eriogonum lonchophyllum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum var. nudicaule",83197,"(Torr.) Reveal",Eriogonum,,lonchophyllum,var.,nudicaule,Variety,"J.L. Reveal",1970,,,,,,"B.S. Klinger",,sn,1935-09-17,1935,9,17,260,,,,"steep, barren hillside, clay-like",,,,,,,,,,,,,,,,,,"United States","New Mexico","United States",,"about 10 miles above San Ysidro",,,,,,,,,,,,,,1768,,,,,"ca. 5800ft",,,,"2015-05-01 23:30:11",35423,22,urn:uuid:4f477ec7-8f20-4623-949a-35c33384739f,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=137691
137923,NMC,,,PreservedSpecimen,,8693,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum",18202,"Torr. & Gray",Eriogonum,,lonchophyllum,,,Species,,,,,,,,"C.F. Baker",,286,1899-06-00,1899,6,0,,,,,,,,,,,,,,,,,,,,,,,"United States","New Mexico","Rio Arriba",,Rosa,,,,,,,,,,,,,,1829,,,,,6000ft,,,,"2015-05-01 23:30:11",8693,22,urn:uuid:1040dc18-be1b-46a9-8981-a833b4281d93,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=137923
137924,NMC,,,PreservedSpecimen,,51447,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum|Eriogonum lonchophyllum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum var. lonchophyllum",57179,,Eriogonum,,lonchophyllum,var.,lonchophyllum,Variety,,,,,,,,"R.W. Spellenberg, D.E. Ward and L. Collyer",,6138,1981-08-11,1981,8,11,223,,,,"on westerly slope of clayey, rocky alluvium",,"flowers white",,,,,,,,"with sagebrush",,,,,,,,"United States","New Mexico","San Juan",,"ca. 4 mi. N of the community of La Plata 1/2 mi. W of NM Highway 17",,,,,,,,,,,,,,1829,,,,,6000ft,,,,"2015-05-01 23:29:30",51447,22,urn:uuid:7d21d67f-fafd-471a-9a9f-a4c8cf9e6f48,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=137924
173015,NAVA,,,PreservedSpecimen,fcbc861a-be11-45ca-9f89-10205d6f27e5,NAVA00003415,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum",18202,"Torr. & Gray",Eriogonum,,lonchophyllum,,,Species,,,,,,,,"B. Hevron",,,,1992,,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters, verbatimCoordinates, georeferencedBy, georeferenceSources, georeferenceVerificationStatus",,,,,"Scattered juniper",,,0,,,,,"United States","New Mexico",Bernalillo,,,,1,,,,,,,,,,,,,,,,,,,,,"2020-01-28 10:10:10",5965,4,urn:uuid:fcbc861a-be11-45ca-9f89-10205d6f27e5,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=173015
173016,NAVA,,,PreservedSpecimen,0903f8aa-6e6e-4d1e-91eb-04f0d4407232,NAVA00002459,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum",18202,"Torr. & Gray",Eriogonum,,lonchophyllum,,,Species,,,,,,,,"B. Hevron",,,,1992,,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters, verbatimCoordinates, georeferencedBy, georeferenceSources, georeferenceVerificationStatus, habitat",,,,,"With Atriplex canescens, Gutierrezia sarothrae, Hilaria jamesii, Astragalus amphioxys, Yucca angustissima, scattered Junipers.",,,0,,,,,"United States","New Mexico",Bernalillo,,,,1,,,,,,,,,,,,,,,,,,,,,"2020-01-28 10:10:10",6909,4,urn:uuid:0903f8aa-6e6e-4d1e-91eb-04f0d4407232,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=173016
189471,"Utah State University",UTC,,PreservedSpecimen,USU:UTC:51649,UTC00051649,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum",18202,"Torr. & Gray",Eriogonum,,lonchophyllum,,,Species,,,,,,,,"H. Andrews; M. Nobel ",,,1936-08-15,1936,8,15,228,,,"Buckwheat or Indian tobacco. ","Plains and hills. ",,,,,,,,,,,,,0,,,,,"United States",Utah,Uintah,,"Diamond Valley. ",,0,,,,,,,,,,,,2134,,,,,,,,,"2016-11-30 11:49:51",51649,16,urn:uuid:346d72d5-1a4f-4beb-a681-e00c632c1b2f,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=189471
196428,"Utah State University",UTC,,PreservedSpecimen,USU:UTC:80473,UTC00080473,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum",18202,"Torr. & Gray",Eriogonum,,lonchophyllum,,,Species,,,,,,,,"R.A. Wolf; K.S. Dever ",,5261,1948-07-06,1948,7,6,188,,,,"Mowry shale outcrop. ",,,,,,,,,,,,,0,,,,,"United States",Utah,Uintah,,"Dinosaur National Monument ; North of road near 'divide' between Island Park and Vernal.",,0,,,,,,,,,,,,1900,,,,,,,,,"2016-11-30 11:49:51",80473,16,urn:uuid:3771ebb1-cb37-49a6-8f56-f5eed0f39709,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=196428
