coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
4555704,"C. Heiser",,1945-12-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:4b297568-f941-4fc4-ae62-f4538e8fed66,"2017-01-07 12:57:13"
4555704,"Assumed to be collector",,"Assumed to be collection year",,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:d18adc76-737a-4218-8740-bce7e32974ef,"2017-01-07 12:56:34"
27177793,"not specified",,"not specified",,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:018fb6c0-84f9-4a2b-8bc4-69357b004c2d,"2021-01-07 16:23:24"
27177807,"not specified",,"not specified",,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:54e6dee1-37e9-451b-be34-cc45dd5bd24c,"2021-01-07 16:23:24"
1553128,,,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:f40b774c-401a-45a9-90b6-3ab378a890a5,"2014-10-03 06:18:38"
1553128,"not specified",,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:2f96c786-0f08-427a-a546-adabb58a75a0,"2021-01-07 16:23:24"
1195905,,,,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:1c237423-53a0-4d31-b1f0-8dcc27cc73c1,"2014-10-03 06:18:38"
1195905,"not specified",,"not specified",,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:31960de8-496f-4cf2-85e8-296edb52c289,"2021-01-07 16:23:24"
1192026,,,,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:e34d00a0-3f15-484d-8541-8ce75869ce2f,"2014-10-03 06:18:38"
1192026,"not specified",,"not specified",,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:f2de610b-5fea-4f6d-8167-4847eb3c7133,"2021-01-07 16:23:24"
1191287,,,,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:dfea1802-2e4c-41a9-9f39-e69cce14cb7a,"2014-10-03 06:18:38"
1191287,"not specified",,"not specified",,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:cfc94ebc-a993-4549-9e8d-3262bbe55584,"2021-01-07 16:23:24"
1540691,,,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:130734d7-7517-41b6-9bf7-5bdd2230a694,"2014-10-03 06:18:38"
1540691,"not specified",,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:b4f4ee19-c717-4823-b8b1-552d0c24b705,"2021-01-07 16:23:24"
1527776,,,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:d0c07082-c5bb-47df-a4b8-18262ced105c,"2014-10-03 06:18:38"
1527776,"not specified",,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:3393eaca-d843-46e5-bbdd-19a21f5040c9,"2021-01-07 16:23:24"
1527777,,,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:e3051715-2b07-4bc0-9247-39ff92e70a1d,"2014-10-03 06:18:38"
1527777,"not specified",,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:2973bdc8-5c07-427a-8dbf-b3e58e385d72,"2021-01-07 16:23:24"
1538630,,,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:c5ec6647-e279-4b73-b0c4-85a936b8f2a4,"2014-10-03 06:18:38"
1538630,"not specified",,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:fce706ad-77cb-46bd-94c3-27b69ba2ea7d,"2021-01-07 16:23:24"
1531208,,,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:cb532b0c-0272-4dae-9c55-18e9796d210c,"2014-10-03 06:18:38"
1531208,"not specified",,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:725a6fb9-a00f-4ee7-9501-78ff11510050,"2021-01-07 16:23:24"
1531934,,,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:91572e9b-1163-4050-9f92-416540bb2b6c,"2014-10-03 06:18:38"
1531934,"not specified",,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:4ca28cd3-bc4c-4969-b921-85cf3b217b42,"2021-01-07 16:23:24"
1524452,,,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:0dead6c9-7b46-4d2f-9d10-a6fc2b0c14aa,"2014-10-03 06:18:38"
1524452,"not specified",,1956-00-00,,"Townsendia glabella",,"A. Gray",,,,,,,urn:uuid:e7be50f7-e1b0-4a36-97f5-cfbd92ac0b2b,"2021-01-07 16:23:24"
