id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
100221,NMCR,,,6a40917e-1f33-42ab-a6e8-b42c7ee4e2ce,PreservedSpecimen,,13141,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"Kelly W. Allred",6272,1995-05-03,1995,5,3,123,,"03 May 1995",,,,,,,,,,,,,,,,,"United States","New Mexico","San Juan",,"Sandy hills 10 miles north of Chaco Canyon park boundary, juniper/sagebrush community",,,,,,,,,,,,1981,,,,,ft.,,,,"1996-10-10 00:00:00",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ed3bfc1d-9a82-4267-8b6c-d435b6d6197b,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=100221
483258,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,01a3447d-87d7-4547-9c88-1fe46ca05cdf,100698,72182,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"collectors: S O'Kane",2066,1985-06-04,1985,6,4,155,,"4 Jun 1985",,"shale of W exposure",,,,,,,,"Pinus ponderosa, Poa, Potentilla, Rosa, Clematis",,,,,1,,"United States",Colorado,"Archuleta County",,"0.2 mi N of Pagosa Springs",,37.27,-106.99,WGS84,,,,,,,,2195,,,,,7202ft.,,en,,"2017-01-16 20:23:12",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:01a3447d-87d7-4547-9c88-1fe46ca05cdf,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=483258
483259,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,8aa68f0f-6d3b-47d9-8279-b25ceb722468,107771,47247,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"collectors: H Harrington 10094",,1968-06-18,1968,6,18,170,,"18 Jun 1968",,"open gnd",,,,,,,,,,,,,1,,"United States",Colorado,"Archuleta County",,"1 mi SE of Pagosa Springs",,37.26,-106.99,WGS84,,,,,,,,2164,,,,,7100ft.,,en,,"2017-01-16 20:23:12",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8aa68f0f-6d3b-47d9-8279-b25ceb722468,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=483259
483260,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,9c2375ce-2f28-4b23-8c8f-d32f32e61803,107777,46048,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"collectors: H Harrington 9984",,1967-06-14,1967,6,14,165,,"14 Jun 1967",,,,,,,,,,,,,,,1,,"United States",Colorado,"Archuleta County",,"1.3 mi S on US Hwy 84 from its jct with US Hwy 160, SE of Pagosa Springs",,37.26,-106.98,WGS84,,,,,,,,2133,,,,,6998ft.,,en,,"2017-01-16 20:23:12",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:9c2375ce-2f28-4b23-8c8f-d32f32e61803,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=483260
483261,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,5fab9d8c-b155-446c-9a30-a4d686f1f9f3,107776,35632,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"collectors: H Harrington 8248",,1956-06-13,1956,6,13,165,,"13 Jun 1956",,"dry open S facing slope",,,,,,,,,,,,,1,,"United States",Colorado,"Archuleta County",,"10 mi NW of Edith",,37,-106.95,WGS84,,,,,,,,2286,,,,,7500ft.,,en,,"2017-01-16 20:23:11",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5fab9d8c-b155-446c-9a30-a4d686f1f9f3,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=483261
483262,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,2870138a-bf89-4f49-9167-0a8d384753c9,107773,31034,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"collectors: H Harrington 4114",,1948-07-02,1948,7,2,184,,"2 Jul 1948",,"open slope",,,,,,,,,,,,,1,,"United States",Colorado,"Archuleta County",,"15 mi N of Arboles",,37.05,-107.41,WGS84,,,,,,,,2011,,,,,6598ft.,,en,,"2017-01-16 20:23:11",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:2870138a-bf89-4f49-9167-0a8d384753c9,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=483262
483263,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,ca66e38e-8396-4ca0-b0be-88c1a8c6ddc1,107778,20642,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"collectors: E Bethel",,1921-06-30,1921,6,30,181,,"30 Jun 1921",,,,,,,,,,,,,,,1,,"United States",Colorado,"Archuleta County",,"Pagosa Springs",,37.26,-107,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:23:11",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ca66e38e-8396-4ca0-b0be-88c1a8c6ddc1,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=483263
483264,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,ffcadda6-7b7a-4dab-be1d-c18b6f4aa12e,107772,20643,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"collectors: E Bethel",,1917-07-04,1917,7,4,185,,"4 Jul 1917",,,,,,,,,,,,,,,1,,"United States",Colorado,"Archuleta County",,"Pagosa Springs",,37.26,-107,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:23:11",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ffcadda6-7b7a-4dab-be1d-c18b6f4aa12e,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=483264
483265,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,f2846420-788f-4edd-a1e3-48fff540d625,107775,33992,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"collectors: H Harrington 7266",,1953-06-26,1953,6,26,177,,"26 Jun 1953",,"open slope",,,,,,,,,,,,,1,,"United States",Colorado,"La Plata County",,"10 mi E of Mancos",,,,WGS84,,,,,,,,2499,,,,,8199ft.,,en,,"2017-01-16 20:23:10",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:f2846420-788f-4edd-a1e3-48fff540d625,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=483265
483266,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,914c2af2-2d75-41cb-86e9-902a26f5addb,107774,31112,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"collectors: H Harrington 4136",,1948-07-02,1948,7,2,184,,"2 Jul 1948",,"partly shaded slope",,,,,,,,,,,,,1,,"United States",Colorado,"La Plata County",,"Cherry Ck Campgnd",,,,WGS84,,,,,,,,2438,,,,,7999ft.,,en,,"2017-01-16 20:23:10",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:914c2af2-2d75-41cb-86e9-902a26f5addb,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=483266
